id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
50785,0,2/4/13,Dmdd,1996,DMDD,35.2907992,-4.05969643,Dinamu Secondary School,0,Internal,Magoma,Manyara,21,3,Mbulu,Bashay,321,TRUE,GeoData Consultants Ltd,Parastatal,,TRUE,2012,other,other,other,parastatal,parastatal,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,other,other
51630,0,2/4/13,Government Of Tanzania,1569,DWE,36.65670893,-3.30921425,Kimnyak,0,Pangani,Kimnyak,Arusha,2,2,Arusha Rural,Kimnyaki,300,TRUE,GeoData Consultants Ltd,VWC,TPRI pipe line,TRUE,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
17168,0,2/1/13,,1567,,34.76786315,-5.00434437,Puma Secondary,0,Internal,Msatu,Singida,13,2,Singida Rural,Puma,500,TRUE,GeoData Consultants Ltd,VWC,P,,2010,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,rainwater harvesting,rainwater harvesting,surface,other,other
45559,0,1/22/13,Finn Water,267,FINN WATER,38.05804609,-9.41867222,Kwa Mzee Pange,0,Ruvuma / Southern Coast,Kipindimbi,Lindi,80,43,Liwale,Mkutano,250,,GeoData Consultants Ltd,VWC,,TRUE,1987,other,other,other,vwc,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other
49871,500,3/27/13,Bruder,1260,BRUDER,35.00612345,-10.950412,Kwa Mzee Turuka,0,Ruvuma / Southern Coast,Losonga,Ruvuma,10,3,Mbinga,Mbinga Urban,60,,GeoData Consultants Ltd,Water Board,BRUDER,TRUE,2000,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
52449,0,3/4/13,Government Of Tanzania,1685,DWE,36.68527855,-3.30242017,Masaga,0,Pangani,Masaga,Arusha,2,2,Arusha Rural,Ilkiding'a,200,TRUE,GeoData Consultants Ltd,VWC,Timbolo sambasha TPRI pipe line,TRUE,1990,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
24806,0,3/2/11,Government Of Tanzania,550,Gover,36.39804116,-7.54138236,none,0,Rufiji,Kichangani,Iringa,11,7,Kilolo,Mahenge,600,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2007,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump
28965,0,1/25/13,Finw,234,FinW,39.60741997,-10.89378645,Kwa Mkwaa,0,Ruvuma / Southern Coast,Ilala,Mtwara,9,4,Tandahimba,Maundo,1,TRUE,GeoData Consultants Ltd,Water Board,Borehole,TRUE,1982,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
36301,30,1/23/13,Unicef,584,LGA,39.2629507,-10.82358805,Kwa Mzee Mpini,0,Ruvuma / Southern Coast,Bondeni,Mtwara,90,33,Newala,Mnekachi,40,TRUE,GeoData Consultants Ltd,VWC,MWS,FALSE,1997,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
54122,0,3/18/13,Lawatefuka Water Supply,1083,Lawatefuka water sup,37.09610836,-3.25175375,Kwa Flora Daud,0,Pangani,Donyomuruak,Kilimanjaro,3,7,Siha,Siha Kati,1,TRUE,GeoData Consultants Ltd,Water Board,BL Erasto Laizer,TRUE,2003,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
419,5,10/3/13,Germany Republi,1259,CES,37.23324768,-3.24112116,Kwa Anna P Muro,0,Pangani,Saa,Kilimanjaro,3,5,Hai,Machame Kaskazini,75,TRUE,GeoData Consultants Ltd,Water Board,Lyamungo-Umbwe water supply,TRUE,2006,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
45750,0,2/27/13,World Vision,608,World vision,37.68639178,-4.55597478,Shuleni,0,Pangani,Remit,Manyara,21,4,Simanjiro,Ruvu Remit,500,TRUE,GeoData Consultants Ltd,,,TRUE,2002,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,rainwater harvesting,rainwater harvesting,surface,other,other
653,0,10/11/12,World Bank,0,Building works company Ltd,33.66107435,-4.16572015,Kwa Nzega,0,Internal,Chonja,Tabora,14,2,Igunga,Itunduru,0,TRUE,GeoData Consultants Ltd,Other,World Bank,TRUE,0,mono,mono,motorpump,vwc,user-group,unknown,unknown,soft,good,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
14017,0,7/29/11,Ministry Of Water,0,DWE,33.00768032,-3.2095291,Gati La Shuleni,0,Lake Victoria,Ilobashi,Mwanza,19,4,Kwimba,Bupamwa,0,TRUE,GeoData Consultants Ltd,VWC,Mradi wa maji Kiliwi,TRUE,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
44607,1000,3/2/11,Danida,1625,DANID,35.61562385,-7.87029042,none,0,Rufiji,Winome,Iringa,11,1,Iringa Rural,Mseke,1,TRUE,GeoData Consultants Ltd,VWC,Meseke,TRUE,1984,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
40228,1200,6/3/13,Danida,916,DWE,35.48288627,-10.91259619,Kwa Daniela,0,Ruvuma / Southern Coast,Mkulu,Ruvuma,10,2,Songea Rural,Ndogosi,0,TRUE,GeoData Consultants Ltd,VWC,Mradi wa maji wa ndongosi,TRUE,1989,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe
27714,0,2/24/11,,-39,,39.85018977,-7.72794628,Kitotoni,0,Rufiji,Barabarani,Pwani,6,6,Mafia,Kanga,900,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
28785,200,3/11/11,Government Of Tanzania,1793,DWE,38.25402354,-4.5658016,Magagai Hospital,0,Pangani,Magagai 2,Tanga,4,1,Lushoto,Rangwi,1,TRUE,GeoData Consultants Ltd,VWC,Shagayo forest,TRUE,1978,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
28330,0,10/6/12,Rural Water Supply And Sanitat,0,DWE,31.58679783,-3.38780779,Shule Ya Msingi Ikuzi,0,Lake Tanganyika,Bumbaaga A,Shinyanga,17,5,Bukombe,Runzewe,0,TRUE,GeoData Consultants Ltd,Parastatal,,TRUE,0,gravity,gravity,gravity,parastatal,parastatal,unknown,unknown,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe
18532,0,2/2/13,Finw,368,FinW,39.43852591,-10.58336646,Liponde A,0,Ruvuma / Southern Coast,Liponde A,Mtwara,9,4,Tandahimba,Chaume,300,TRUE,GeoData Consultants Ltd,Water Board,Borehole,TRUE,1982,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe
69961,0,3/12/13,0,-27,0,39.32230666,-6.85026202,Shuleni,0,Wami / Ruvu,Kisiwani,Dar es Salaam,7,3,Temeke,Vijibweni,120,TRUE,GeoData Consultants Ltd,SWC,,FALSE,2010,submersible,submersible,submersible,other - school,other,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe
55083,0,3/7/11,Dwe,1674,DWE,34.94362033,-9.35251465,none,0,Rufiji,Matewele,Iringa,11,4,Njombe,Yakobi,30,TRUE,GeoData Consultants Ltd,VWC,Lukwal,FALSE,2008,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
8691,0,2/4/13,Tasaf,1087,DWE,31.04608844,-5.05419563,Kwa Yorodan,0,Lake Tanganyika,Kibondo,Kigoma,16,3,Kigoma Rural,Mtego wa Noti,1750,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2005,other,other,other,vwc,user-group,unknown,unknown,milky,milky,enough,enough,shallow well,shallow well,groundwater,other,other
30331,0,2/9/13,,1441,,34.62104755,-5.16592646,Andrea,0,Internal,Muhintiri,Singida,13,2,Singida Rural,Naintiri,1,TRUE,GeoData Consultants Ltd,VWC,M,,1970,mono,mono,motorpump,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe
70970,0,10/7/12,Mwanashila,0,DWE,33.72235857,-3.04712172,Toyekukoya Groups,0,Lake Victoria,Ging'Hi,Shinyanga,17,2,Maswa,Buchambi,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
61136,200,2/23/11,Tz Japan,1726,DWE,34.92959242,-9.15287185,Kwa Tega,0,Rufiji,Mpeto A,Iringa,11,4,Njombe,Ikuka,50,TRUE,GeoData Consultants Ltd,VWC,Ikuna gravity water Scheme,FALSE,2008,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
28799,0,2/18/13,Germany,986,DWE,35.42444315,-10.57968552,Shule Ya Msingi Mapo,0,Ruvuma / Southern Coast,Mabatini,Ruvuma,10,2,Songea Rural,Maposeni,0,TRUE,GeoData Consultants Ltd,VWC,Mradi wa maji wa maposeni,TRUE,2009,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,river,river/lake,surface,communal standpipe,communal standpipe
46825,0,4/10/11,Water,0,MWE &,35.89487669,-6.14752205,Kwa Mbogambi,0,Wami / Ruvu,Chididimo,Dodoma,1,5,Dodoma Urban,Mtumba,0,TRUE,GeoData Consultants Ltd,VWC,Ihum,FALSE,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,salty,salty,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
44718,0,2/4/13,Dwsp,0,DWE,0,-2.00E-08,Nkubanija,0,Lake Victoria,Nkonze,Shinyanga,17,1,Bariadi,Lugulu,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,pay when scheme fails,on failure,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
37350,0,2/20/13,Bffs,1309,BFFS,36.29176128,-5.24231281,Zahanati,0,Internal,Mapinduzi,Manyara,21,5,Kiteto,Olbolot,860,TRUE,GeoData Consultants Ltd,VWC,BFFS,FALSE,2002,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe
65738,5,12/3/13,Private Individual,1564,Dmdd,35.6124173,-3.35116762,Bado,0,Internal,Dofa,Arusha,24,30,Karatu,Qurus,200,TRUE,GeoData Consultants Ltd,VWC,Gyewasu,TRUE,2002,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
3271,0,10/29/12,Government Of Tanzania,0,DWE,32.86178245,-3.92819891,Gati La Selemi,0,Internal,Selemi,Tabora,14,1,Nzega,Igusule,0,FALSE,GeoData Consultants Ltd,VWC,,TRUE,0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe
42658,0,11/5/12,Tlc,0,TLC,33.12453405,-4.85766882,Shuleni,0,Lake Tanganyika,Idete,Tabora,14,3,Uyui,Isikizya,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump
